2025-04-08 16:37:39,餐饮美食,天**,tmc***@service.aliyun.com,【百亿补贴】蒙牛低脂高钙牛奶250ml*24盒富含VD轻食早餐优质蛋白,支出,44.90,花呗,交易成功,2025040822001137741454468390	,T200P2523463035731463291	,,
2025-04-08 11:43:34,餐饮美食,上海景春泰临餐饮有限公司,190***@qq.com,张江润和国际员工餐厅支付D3B53995EE2347A6B0C3EF08FFABABC3,支出,20.80,花呗,交易成功,2025040822001437741455586932	,825040804134351	,,
2025-04-08 08:04:16,充值缴费,中国移动,z97***@service.aliyun.com,为13697276902话费充值,支出,50.00,花呗,交易成功,2025040822001437741451522739	,2025040800003100007443796163	,,
2025-04-08 02:04:52,投资理财,招商财富宝A,/,余额宝-2025.04.07-收益发放,不计收支,0.13,余额宝,交易成功,20250408335352627741	,	,,
2025-04-07 20:30:16,爱车养车,柏来科技,/,充电订单支付,支出,3.00,花呗,交易成功,2025040722001437741447792440	,49126600004844290025040720301110191231101861854046	,,
2025-04-07 19:18:24,餐饮美食,阿喵说百业路店,/,美团收银909700199065566695,支出,36.66,花呗,交易成功,2025040722001437741451527296	,8820180330024764010461368605724658065602243	,,
2025-04-07 13:48:35,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-汇添富中证沪港深云计算产业指数C-买入,不计收支,600.00,余额宝,交易成功,20250407001080012204740016902922	,	,,
2025-04-07 13:48:25,退款,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-汇添富中证沪港深云计算产业指数C-买入退款,不计收支,1000.00,余额宝,交易成功,20250407001080012204740016909343_20250407001080100004740066428154	,20250407001080100004740066428154	,,
2025-04-07 13:47:54,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-华富中证人工智能产业ETF联接C-买入,不计收支,500.00,余额宝,交易成功,20250407001080012204740016813045	,	,,
2025-04-07 13:47:44,退款,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-华富中证人工智能产业ETF联接C-买入退款,不计收支,1000.00,余额宝,交易成功,20250407001080012204740016873684_20250407001080100004740066436933	,20250407001080100004740066436933	,,
2025-04-07 13:36:32,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-华富中证人工智能产业ETF联接C-买入,不计收支,1000.00,余额宝,交易成功,20250407001080012204740016873684	,	,,
2025-04-07 13:36:00,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-汇添富中证沪港深云计算产业指数C-买入,不计收支,1000.00,余额宝,交易成功,20250407001080012204740016909343	,	,,
2025-04-07 13:35:11,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-华宝中证金融科技主题ETF联接C-买入,不计收支,500.00,余额宝,交易成功,20250407001080012204740016893103	,	,,
2025-04-07 12:21:00,文化休闲,北京大麦文化传媒发展有限公司,pia***@alibaba-inc.com,大麦网演出赛事票品,支出,100.00,花呗,交易成功,2025040722001437741448547602	,11120600725040712880576985628	,,
2025-04-07 11:37:09,餐饮美食,上海景春泰临餐饮有限公司,190***@qq.com,张江润和国际员工餐厅支付66D2403293674CFBAACD2FCC2DFCFE79,支出,18.50,花呗,交易成功,2025040722001437741451528703	,825040703855337	,,
2025-04-07 02:15:21,投资理财,招商财富宝A,/,余额宝-2025.04.06-收益发放,不计收支,0.19,余额宝,交易成功,20250407327880192741	,	,,
2025-04-06 23:50:28,生活服务,美团,it_***@meituan.com,美团订单-25040611100300001300257036995996,支出,1.80,花呗,交易成功,2025040622001437741446439565	,20250406235023U01611798979413086	,,
2025-04-06 09:57:43,交通出行,哈啰出行,zij***@hellobike.com,哈啰助力车骑行,支出,2.00,花呗,交易成功,2025040622001437741446912019	,CPR250406095738350173675138R	,,
2025-04-06 08:57:40,退款,阿斯**店,/,退款-淮滨到阜阳的火车票,不计收支,10.00,花呗,退款成功,2025032322001137741444313095*2506977156908463291_207203739397469132	,2506977156908463291_207203739397469132	,,
2025-04-06 02:09:43,投资理财,招商财富宝A,/,余额宝-2025.04.05-收益发放,不计收支,0.19,余额宝,交易成功,20250406322586386741	,	,,
2025-04-05 23:46:42,交通出行,哈啰出行,zij***@hellobike.com,哈啰助力车骑行,支出,3.00,花呗,交易成功,2025040522001437741441889513	,CPR250405234637866173675138G	,,
2025-04-05 22:25:28,信用借还,美团充电,it_***@meituan.com,美团充电宝,支出,3.00,花呗,交易成功,2025040522001437741439768275	,2509961908515188731285530	,,
2025-04-05 21:39:20,餐饮美食,美团,zxp***@meituan.com,锡城富爸爸·烤肉-大众点评App-25040511100300001300048436667996,支出,128.00,花呗,交易成功,2025040522001437741443664083	,20250405213913U47573976598433799	,,
2025-04-05 16:55:13,餐饮美食,淮滨县诚润发副食百货超市,/,二维码支付,支出,6.50,花呗,交易成功,2025040522001437741439854919	,8112660000010500020520250405008201931461	,,
2025-04-05 09:39:29,日用百货,淮滨县栏杆洪铨购物中心,152******77,经营码交易,支出,9.00,花呗,交易成功,2025040522001437741439490069	,17438171696822148437744	,,
2025-04-05 09:35:27,餐饮美食,淮滨县诚润发副食百货超市,/,二维码支付,支出,11.70,花呗,交易成功,2025040522001437741435758245	,1312660000010500021120250405008194310006	,,
2025-04-05 08:39:23,餐饮美食,淮滨县诚润发副食百货超市,/,二维码支付,支出,21.60,花呗,交易成功,2025040522001437741439487040	,9412660000010500020120250405008200550497	,,
2025-04-05 08:15:50,餐饮美食,王庭堂,138******32,收钱码收款,支出,1.00,花呗,交易成功,2025040522001437741435673470	,17438121506822148437744	,,
2025-04-05 08:13:12,日用百货,群美精品生活超市,/,条码支付-群美超市栏杆店-M23036730102202504050036814,支出,8.90,花呗,交易成功,2025040522001437741439693530	,27126600004836000083620250405962674215	,,
2025-04-05 02:18:51,投资理财,招商财富宝A,/,余额宝-2025.04.04-收益发放,不计收支,0.19,余额宝,交易成功,20250405320858639741	,	,,
2025-04-04 21:38:09,交通出行,哈啰出行,zij***@hellobike.com,哈啰助力车骑行,支出,2.00,花呗,交易成功,2025040423001437741436530400	,CPR250404213805321173675138B	,,
2025-04-04 21:00:53,餐饮美食,小凤阁·秘制鸡虾煲（淮滨西亚美悦店）,/,美团收银909700198967038290,支出,4.00,花呗,交易成功,2025040422001437741439870114	,2520180330024764010461368605718239869004226	,,
2025-04-04 20:12:38,餐饮美食,美团,zxp***@meituan.com,小凤阁·秘制鸡虾煲-大众点评App-25040411100300001309831155168996,支出,86.40,花呗,交易成功,2025040422001437741438501865	,20250404201233U05676235776243850	,,
2025-04-04 19:56:09,日用百货,西亚和美商业公司淮滨美悦广场,/,西亚和美商业股份有限公司淮滨美悦广场,支出,20.00,花呗,交易成功,2025040422001437741435488113	,322017092208872157171805001249000052504040819889	,,
2025-04-04 19:37:57,餐饮美食,6239-茶百道淮滨西亚美悦城商业街店,/,淮滨县强鑫饮品店（个体工商户）6239茶百道淮滨西亚美悦城商业街店,支出,31.00,花呗,交易成功,2025040422001437741439750368	,21P2088701330117762W03_152741842922125040419375743896	,,
2025-04-04 19:08:01,交通出行,哈啰出行,zij***@hellobike.com,哈啰助力车骑行,支出,3.00,花呗,交易成功,2025040422001437741439546227	,CPR250404190750508173675138K	,,
2025-04-04 09:54:15,交通出行,淮滨县广源公共交通有限公司,136***@qq.com,公交-000001路 上车时间:2025-04-04 09:54:09,支出,0.80,花呗,交易成功,2025040422001437741438137461	,411527_412100063631_4093_2088822148437744_20250404095409	,,
2025-04-04 09:53:58,交通出行,淮滨县广源公共交通有限公司,136***@qq.com,公交-000001路 上车时间:2025-04-04 09:53:52,支出,0.80,花呗,交易成功,2025040422001437741435559095	,411527_412100063631_4092_2088822148437744_20250404095352	,,
2025-04-04 02:54:19,投资理财,招商财富宝A,/,余额宝-2025.04.03-收益发放,不计收支,0.19,余额宝,交易成功,20250404316298209741	,	,,
2025-04-03 20:47:17,交通出行,上海公共交通卡股份有限公司,jtk***@sptcc.com,上海交通卡-充值,支出,10.00,花呗,交易成功,2025040322001437741434249891	,112504038087528626	,,
2025-04-03 20:44:29,生活服务,美团,it_***@meituan.com,美团订单-25040311100300001309638547308996,支出,1.50,花呗,交易成功,2025040322001437741434244258	,20250403204424U61929464873463905	,,
2025-04-03 11:41:22,餐饮美食,上海景春泰临餐饮有限公司,190***@qq.com,张江润和国际员工餐厅支付69D23DE892984262B1786FDCA043B7FF,支出,19.80,花呗,交易成功,2025040322001437741435497419	,825040302192179	,,
2025-04-03 02:09:12,投资理财,招商财富宝A,/,余额宝-2025.04.02-收益发放,不计收支,0.20,余额宝,交易成功,20250403307010691741	,	,,
2025-04-02 02:07:31,投资理财,招商财富宝A,/,余额宝-2025.04.01-收益发放,不计收支,0.29,余额宝,交易成功,20250402301944201741	,	,,
2025-04-01 11:41:38,餐饮美食,上海景春泰临餐饮有限公司,190***@qq.com,张江润和国际员工餐厅支付33FE08E882E2450DAE1E1E5BB0E83B45,支出,17.50,花呗,交易成功,2025040122001437741425275125	,825040101584536	,,
2025-04-01 02:39:55,投资理财,招商财富宝A,/,余额宝-2025.03.31-收益发放,不计收支,0.18,余额宝,交易成功,20250401398882439741	,	,,
